content_hash_id,client_hash_id,refresh_probability,avg_impressions,avg_clicks,avg_position
content_0e60e9ab0f3b4b33,client_23a62021009f63c4,1.0,477.8666666666667,1.0,38.444632913683954
content_f8c0566c8f017176,client_23a62021009f63c4,1.0,163.33333333333334,0.3,27.97929738004159
content_7db726a87343e8e8,client_23a62021009f63c4,1.0,122.93333333333334,0.9666666666666667,15.090197975411971
content_df61affb97835ae7,client_23a62021009f63c4,1.0,199.4,0.13333333333333333,39.490198214740076
content_91a3f1d364534690,client_23a62021009f63c4,1.0,236.06666666666666,1.0333333333333334,18.706601281257417
content_4e98cd7d19bc6af0,client_23a62021009f63c4,1.0,219.33333333333334,1.5,30.212662512383236
content_0f7a4c1d26aa1acb,client_23a62021009f63c4,1.0,160.03333333333333,0.5,22.7514071154054
content_22a01117af6f0ecf,client_23a62021009f63c4,1.0,179.4,0.23333333333333334,38.012012842263815
content_35317f4121eb61c0,client_23a62021009f63c4,1.0,121.16666666666667,0.7,18.708535384737647
content_e116392bcc5d1470,client_23a62021009f63c4,1.0,186.4,0.6333333333333333,17.37225507649669
content_34641694b788341b,client_23a62021009f63c4,1.0,102.9,0.26666666666666666,17.93462990675886
content_39d5fdad0eb7d39a,client_23a62021009f63c4,1.0,107.23333333333333,0.43333333333333335,33.763006509263555
content_7f6b9ff6220ad57f,client_23a62021009f63c4,1.0,123.93333333333334,0.3333333333333333,35.941160468416165
content_888895cf559aaeff,client_23a62021009f63c4,1.0,159.8,1.0333333333333334,21.635653189658058
content_91a6b43454608fb5,client_23a62021009f63c4,1.0,111.23333333333333,0.36666666666666664,24.20070451426162
content_a908d5c1644efff9,client_23a62021009f63c4,1.0,176.2,0.1,21.104614721855445
content_9d1e94cbd32b0a41,client_23a62021009f63c4,1.0,416.8,0.36666666666666664,41.03162636473142
content_066c2291283a5200,client_23a62021009f63c4,1.0,171.1,0.1,34.39572001868839
content_650ed591dab32bea,client_23a62021009f63c4,1.0,128.3,0.4,27.901840356527728
content_eda09057681aa39b,client_23a62021009f63c4,1.0,107.36666666666666,0.43333333333333335,33.96126724755606
content_86d927b3f5be98a9,client_23a62021009f63c4,1.0,120.63333333333334,0.7666666666666667,22.43808273972787
content_9e93299136900686,client_e547b89c05043229,1.0,274.73333333333335,0.8,19.51392814504809
content_2a2ae54e588728de,client_23a62021009f63c4,1.0,226.26666666666668,0.9333333333333333,15.440657370471406
content_60bc77e871ccbb5e,client_23a62021009f63c4,1.0,512.3,1.2666666666666666,25.462309973445258
content_16a505615d57ea1a,client_e547b89c05043229,1.0,384.8,1.3666666666666667,16.804003015967258
content_9f669525655492f5,client_23a62021009f63c4,1.0,183.96666666666667,0.23333333333333334,19.240490092842002
content_e58f0b235272b639,client_23a62021009f63c4,1.0,232.26666666666668,0.6,20.25508091374144
content_0efb872240e8cbaa,client_23a62021009f63c4,1.0,386.6333333333333,1.0,22.57342083952081
content_0998d71a565ac39f,client_23a62021009f63c4,1.0,107.2,0.7333333333333333,16.75236827852984
content_40a263544c063f61,client_e5c2aa26a8598242,1.0,142.5,0.23333333333333334,17.7536515574725
content_469ce16a71d8ef05,client_23a62021009f63c4,1.0,232.1,0.3333333333333333,28.81195650282866
content_a2f4a92e3e748f7d,client_23a62021009f63c4,1.0,158.43333333333334,1.0,26.25868105812971
content_bd7d6449bed7052a,client_23a62021009f63c4,1.0,601.7333333333333,1.4333333333333333,27.598961450380536
content_6de3259a83a1fd83,client_23a62021009f63c4,1.0,102.13333333333334,0.23333333333333334,38.14161857143236
content_309c2ccc855ac350,client_23a62021009f63c4,1.0,302.93333333333334,0.4666666666666667,43.61934837722947
content_3f4c7d3efc7cf599,client_23a62021009f63c4,1.0,306.46666666666664,0.4666666666666667,33.62195338944284
content_40656bb40c8f4818,client_23a62021009f63c4,1.0,106.06666666666666,0.8,20.60702708677888
content_a5b72b62c90be9ca,client_23a62021009f63c4,1.0,127.6,0.8333333333333334,29.4207111311755
content_97d74e728da008ce,client_23a62021009f63c4,1.0,188.46666666666667,0.23333333333333334,42.803989807622465
content_bafd0eaf1ca2e8b9,client_23a62021009f63c4,1.0,151.2,0.13333333333333333,29.378227452167966
content_10e8f76ed8c5c392,client_e547b89c05043229,1.0,179.96666666666667,0.2,42.76844114665901
content_2ad767912d94b780,client_23a62021009f63c4,1.0,225.46666666666667,0.3333333333333333,28.164053927184433
content_b25582acb341f133,client_23a62021009f63c4,1.0,107.7,0.16666666666666666,18.531906347482654
content_e43d9ec6ada70f02,client_23a62021009f63c4,1.0,205.26666666666668,0.6333333333333333,38.8752386074532
content_8a67733b1be6b4ab,client_23a62021009f63c4,1.0,190.86666666666667,0.4666666666666667,18.601659536025316
content_127eb47329396606,client_23a62021009f63c4,1.0,442.53333333333336,1.0666666666666667,39.94076794722988
content_d37879e75c2634ff,client_23a62021009f63c4,1.0,158.46666666666667,0.3333333333333333,21.156557564026667
content_56208173d7626df3,client_23a62021009f63c4,1.0,202.66666666666666,0.6333333333333333,18.205014412498993
content_25009cafa787d5a3,client_23a62021009f63c4,1.0,153.16666666666666,0.6666666666666666,30.366158798228806
content_f929f99a6f4e0c3f,client_23a62021009f63c4,1.0,159.33333333333334,0.5,34.03610780942187
content_8ed3506b84b0a2ad,client_23a62021009f63c4,1.0,336.4,0.7666666666666667,36.34190149033216
